Closing (Year),Place,History Lost (Years),Reason
2013,Stile's Market,26,"Pushed out by landlord, to be demolished for luxury development"
2013,"5Pointz, formerly Phun Phactory",20,"White-washed by owner, to be demolished for luxury condo towers"
2013,Famous Roio's/Ray's Pizza,40,Building sold
2013,Ray Beauty Supply,50,Property seized by landlord
2013,Vercesi Hardware,101,Building sold to be demolished for luxury condos
2013,D'Auito's Bakery,89,Unknown
2013,Odessa Restaurant,48,"Building sold, gastropub to move in, now for rent"
2013,Splash gay bar,22,Lack of business
2013,Paradise Café,20,Rent hike
2013,Big Nick's Burger and Pizza Joint,51,"Rent increase from $42,000 to $60,000 a month"
2013,Max Fish,24,Rent increase
2013,Joe's Dairy,60,Cost of doing business
2013,Bleecker Bob's Records,46,Rent hike
2013,Blarney Cove,50+,Evicted for new development
2013,Sofia's Italian restaurant,35,Lost their lease
2013,9th Street Bakery,87,"38% rent hike, replaced by juice-cleanse and smoothie shop"
2013,Capucine's Italian restaurant,33,Rent hike
2013,Rawhide gay bar,34,"Rent hike, to be turned into a pizza chain from California"
