Closing (Year),Place,History Lost (Years),Reason,Location
2014,Peels,3.5,"Open since the late summer of 2010, Taavo Somer and William Tigertt's agreed to shutter after talks with the real-estate-investment group that purchased the building summer 2013",325 Bowery
2014,Gray's Papaya,28,"They wanted to raise my rent to $50,000 from $30,000, owner Nicholas Gray says.",402 Sixth Avenue
2014,Milady's,70+,No longer able to survive in the gentrified Manhattan neighborhood. Building up for sale at $10M,Thompson and Prince Streets
2013,The Clocktower Gallery,42,"The sale of the gallery's landmarked, city-owned building to real estate development company Peebles Corporation was part of Mayor Bloomberg's plan to reduce government office space by 1.2 million square feet. The building will be turned into luxury residences", 108 Leonard Street
2013,The Emerald Inn,70,"100% rent increases, relocated.",
2013,Silver Spurs diner,34,Major rent hike.,
2013,Rawhide gay bar,34,"Rent hike, to be turned into a pizza chain from California",
2013,Capucine's Italian restaurant,33,Rent hike,
2013,9th Street Bakery,87,"38% rent hike, replaced by juice-cleanse and smoothie shop",
2013,Sofia's Italian restaurant,35,Lost their lease,
2013,Blarney Cove,50+,Evicted for new development,
2013,Bleecker Bob's Records,46,Rent hike,
2013,Joe's Dairy,60,Cost of doing business,
2013,Max Fish,24,Rent increase,
2013,Big Nick's Burger and Pizza Joint,51,"Rent increase from $42,000 to $60,000 a month",
2013,Paradise Café,20,Rent hike,
2013,Splash gay bar,22,Lack of business,
2013,Odessa Restaurant,48,"Building sold, gastropub to move in, now for rent",
2013,D'Auito's Bakery,89,Unknown,
2013,Vercesi Hardware,101,Building sold to be demolished for luxury condos,
2013,Ray Beauty Supply,50,Property seized by landlord,
2013,Famous Roio's/Ray's Pizza,40,Building sold,
2013,"5Pointz, formerly Phun Phactory",20,"White-washed by owner, to be demolished for luxury condo towers",
2013,Stile's Market,26,"Pushed out by landlord, to be demolished for luxury development",
2012,H&H Bagels,40,Last location evicted,
2012,Lenox Lounge,63,"Landlord doubled the rent, given to upscale restaurateur",
2012,The Stage Deli,75,Rent increase,
2012,Village Chess Shop,40,Closed due to lack of business,
2012,El Faro,85,"Possibly evicted? Needed to raise 80K to correct code violations ""Apparently, the restaurant has received calls and emails of support from customers around the world since it closed. El Faro still has a devoted clientele, noting, ""People have their packages delivered to us. It's like an extension of their house...We delivered food to some of our elderly [customers] and even brought them milk and bread if they couldn't leave home.""", 822 Greenwich St
2012,University Diner,60,Evicted,
2012,Partners & Crime Bookshop,18,Closed due to lack of business,
2012,Lafayette French Bakery,30+,Evicted,
2012,Movie Star News,73,"Rent hiked, turned into a luxury bathroom fixture store",
2012,Colony Records,60,"Closed when the new landlord, Stonehenge Properties, quintupled the rent to $5 million per month",
2012,Lascoff Pharmacy,113,Closed and gutted,
2012,Prime Burger,47,Lost lease when building sold,
2012,Atlas Barber School,64,"Lost lease due to hiked rent, now a UPS",
2012,Bill's Gay 90s,88,"Lost its lease to a trendy restaurateur, gutted and upscaled",
2012,Chelsea Gallery Diner,30,Forced out of Chelsea,
2012,World of Video,29,Lost its lease,
2012,A Clean Well-Lighted Place,36,Now an upscale boutique,
2012,Manganaro's Grosseria,119,Sold and gutted for a more upscale restaurant,
2012,"McCullough's Kiddie Park, Coney Island",50,Lost their lease,
2012,Kenny's Castaway's,45,Rising cost of business,
2012,The Holiday Cocktail Lounge,47,Sold and gutted for a gastropub,
2012,Rocco Ristorante,90,"Lost lease to trendy restaurateurs, gutted and upscaled",
2011,Gray's Papaya,?,Rent issues,539 Eighth Ave
2011,Elaine's,48,Death of owner,
2011,Life Café,30,Dispute with landlord over repairs,
2011,Chelsea Hotel,127,Sold and closed to guests,
2011,Brownfeld Auto,120,Evicted when landlord decided to sell for luxury High Line development,
2011,Mars Bar,26,"Demolished to build luxury condos, to become a bank",
2011,The Original Ray's Pizza,52,Legal dispute with landlord,
2011,Auggie's Coffee shop,45,Could not afford the rent,
2011,Polonia,22,Probable rent hike,
2011,"Gansevoort Pumping Station, Premier Veal plant",105,Evicted and demolished for new Whitney Museum and High Line headquarters,
